Date,Country,Sex,AgeGroup,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,Population
20200310,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,60,31.4096658,191024
20200310,S92000003,Female,85plus,0,0,0,0,0,0,35,42.58218361,82194
20200310,S92000003,Female,Total,10,26,0.928472944,0,0,0,1482,52.92295781,2800297
20200310,S92000003,Male,15 to 19,0,1,0.693615959,0,0,0,41,28.43825431,144172
20200310,S92000003,Male,20 to 24,0,1,0.56796883,0,0,0,79,44.86953756,176066
20200310,S92000003,Male,25 to 44,7,22,3.128581871,0,0,0,382,54.32355794,703194
20200310,S92000003,Male,45 to 64,4,15,2.065037673,0,0,0,442,60.84977677,726379
20200310,S92000003,Male,65 to 74,0,4,1.445091926,0,0,0,127,45.88166865,276799
20200310,S92000003,Male,75 to 84,0,1,0.676892252,0,0,0,68,46.02867316,147734
20200310,S92000003,Male,85plus,0,0,0,0,0,0,19,42.32285657,44893
20200310,S92000003,Male,Total,11,44,1.652270012,0,0,0,1487,55.8392161,2663003
20200310,S92000003,Total,15 to 19,0,1,0.354662751,0,0,0,83,29.43700835,281958
20200310,S92000003,Total,20 to 24,0,3,0.863418677,0,0,0,187,53.81976423,347456
20200310,S92000003,Total,25 to 44,9,28,1.966745149,0,0,0,788,55.34982777,1423672
20200310,S92000003,Total,45 to 64,11,28,1.866213799,0,0,0,878,58.51913269,1500364
20200310,S92000003,Total,65 to 74,1,7,1.210444406,0,0,0,254,43.92183988,578300
20200310,S92000003,Total,75 to 84,0,2,0.590391961,0,0,0,128,37.78508552,338758
20200310,S92000003,Total,85plus,0,0,0,0,0,0,54,42.49057732,127087
20200310,S92000003,Total,Total,21,70,1.281276884,0,0,0,2971,54.38105175,5463300
20200311,S92000003,Female,15 to 19,0,0,0,0,0,0,48,34.83663072,137786
20200311,S92000003,Female,20 to 24,1,3,1.750393839,0,0,0,117,68.26535971,171390
20200311,S92000003,Female,25 to 44,4,10,1.387967433,0,0,0,461,63.98529865,720478
20200311,S92000003,Female,45 to 64,4,17,2.196424995,0,0,0,498,64.34233222,773985
20200311,S92000003,Female,65 to 74,0,3,0.995021575,0,0,0,159,52.7361435,301501
20200311,S92000003,Female,75 to 84,1,2,1.04698886,0,0,0,79,41.35605997,191024
20200311,S92000003,Female,85plus,0,0,0,0,0,0,50,60.83169088,82194
20200311,S92000003,Female,Total,10,36,1.285577923,0,0,0,1729,61.74345078,2800297
20200311,S92000003,Male,15 to 19,0,1,0.693615959,0,0,0,45,31.21271814,144172
20200311,S92000003,Male,20 to 24,1,2,1.13593766,0,0,0,90,51.11719469,176066
20200311,S92000003,Male,25 to 44,4,26,3.697414938,0,0,0,429,61.00734648,703194
20200311,S92000003,Male,45 to 64,10,25,3.441729455,0,0,0,498,68.55925075,726379
20200311,S92000003,Male,65 to 74,1,5,1.806364907,0,0,0,146,52.7458553,276799
20200311,S92000003,Male,75 to 84,0,1,0.676892252,0,0,0,96,64.98165622,147734
20200311,S92000003,Male,85plus,0,0,0,0,0,0,38,84.64571314,44893
20200311,S92000003,Male,Total,16,60,2.253095472,0,0,0,1698,63.76260184,2663003
20200311,S92000003,Total,15 to 19,0,1,0.354662751,0,0,0,93,32.98363586,281958
20200311,S92000003,Total,20 to 24,2,5,1.439031129,0,0,0,208,59.86369497,347456
20200311,S92000003,Total,25 to 44,8,36,2.528672335,0,0,0,891,62.58464028,1423672
20200311,S92000003,Total,45 to 64,14,42,2.799320698,0,0,0,996,66.38389084,1500364
20200311,S92000003,Total,65 to 74,1,8,1.383365035,0,0,0,305,52.74079198,578300
20200311,S92000003,Total,75 to 84,1,3,0.885587942,0,0,0,175,51.65929661,338758
20200311,S92000003,Total,85plus,0,0,0,0,0,0,88,69.24390378,127087
20200311,S92000003,Total,Total,26,96,1.757179727,0,0,0,3429,62.76426336,5463300
